x,f1,f2,f3,f4,f5,f6,f7,f8
50,0,0,0.436,0.528,0.424,0.528,0.528,0.192089844
51,0,0,0.436,0.524,0.424,0.524,0.524,0.191764323
52,0,0,0.436,0.52,0.424,0.52,0.52,0.191536458
53,0,0,0.436,0.516,0.424,0.516,0.516,0.1921875
54,0,0,0.436,0.512,0.424,0.512,0.512,0.194661458
55,0,0,0.436,0.508,0.424,0.508,0.508,0.198144531
56,0,0,0.436,0.504,0.424,0.504,0.504,0.203222656
57,0,0.064,0.408,0.5,0.38,0.5,0.5,0.210058594
58,1,0.28,0.412,0.496,0.376,0.496,0.496,0.21500651
59,1,0.252,0.42,0.492,0.416,0.492,0.492,0.203255208
60,1,0.22,0.416,0.496,0.424,0.496,0.496,0.191699219
61,1,0.228,0.404,0.5,0.42,0.5,0.5,0.186458333
62,1,0.256,0.412,0.504,0.42,0.504,0.504,0.181640625
63,1,0.352,0.416,0.504,0.424,0.504,0.504,0.167089844
64,1,0.352,0.42,0.508,0.42,0.508,0.508,0.132291667
65,1,0.308,0.428,0.508,0.412,0.508,0.508,0.093326823
66,1,0.28,0.424,0.508,0.404,0.508,0.508,0.0578125
67,1,0.224,0.428,0.512,0.424,0.512,0.512,0.034667969
68,1,0.196,0.42,0.512,0.42,0.512,0.512,0.015983073
69,1,0.184,0.424,0.512,0.42,0.512,0.512,0.011067708
70,1,0.188,0.432,0.516,0.42,0.516,0.516,0.00686849
71,1,0.188,0.432,0.516,0.42,0.516,0.516,0.002246094
72,1,0.18,0.432,0.52,0.42,0.52,0.52,0
73,1,0.184,0.432,0.52,0.42,0.52,0.52,0
74,1,0.184,0.436,0.524,0.42,0.524,0.524,0
75,1,0.184,0.436,0.528,0.42,0.528,0.528,0
76,1,0.184,0.44,0.528,0.42,0.528,0.528,0
77,1,0,0.44,0.528,0.42,0.528,0.528,0
78,1,0,0.44,0.532,0.42,0.532,0.532,0.021516927
79,1,0,0.44,0.532,0.42,0.532,0.532,0.011263021
80,1,0,0.44,0.536,0.416,0.536,0.536,0.03108724
81,1,0,0.436,0.54,0.416,0.54,0.54,0.057454427
82,1,0,0.436,0.548,0.42,0.548,0.548,0.095247396
83,0,0,0.44,0.544,0.416,0.544,0.544,0.125358073
84,0,0,0.444,0.544,0.424,0.544,0.544,0.132161458
85,0,0,0.444,0.54,0.424,0.54,0.54,0.151302083
86,0,0,0.444,0.536,0.424,0.536,0.536,0.189713542
87,0,0,0.444,0.532,0.416,0.532,0.532,0.212304688
88,0,0,0.444,0.528,0.424,0.528,0.528,0.227148438
89,0,0,0.44,0.528,0.424,0.528,0.528,0.255045573
90,0,0,0.436,0.524,0.42,0.524,0.524,0.290722656
91,0,0,0.432,0.52,0.384,0.52,0.52,0.328678385
92,0,0,0.432,0.516,0.424,0.516,0.516,0.343229167
93,0,0,0.432,0.512,0.428,0.512,0.512,0.360872396
94,0,0,0.432,0.512,0.416,0.512,0.512,0.385221354
95,0,0,0.432,0.508,0.412,0.508,0.508,0.410091146
96,0,0,0.432,0.504,0.42,0.504,0.504,0.414420573
97,0,0,0.432,0.504,0.424,0.504,0.504,0.417382813
98,1,0,0.424,0.5,0.424,0.5,0.5,0.41796875
99,1,0.208,0.412,0.5,0.372,0.5,0.5,0.412955729
100,1,0.252,0.424,0.5,0.416,0.5,0.5,0.400227865
101,1,0.272,0.42,0.504,0.428,0.504,0.504,0.362760417
102,1,0.248,0.408,0.508,0.42,0.508,0.508,0.338053385
103,1,0.352,0.416,0.508,0.412,0.508,0.508,0.305110677
104,1,0.368,0.42,0.512,0.412,0.512,0.512,0.261979167
105,1,0.32,0.424,0.516,0.42,0.516,0.516,0.211686198
106,1,0,0.432,0.52,0.404,0.52,0.52,0.179980469
107,1,0,0.436,0.52,0.38,0.52,0.52,0.173730469
108,1,0,0.436,0.524,0.416,0.524,0.524,0.170898438
109,1,0,0.44,0.528,0.424,0.528,0.528,0.167513021
110,1,0,0.44,0.532,0.428,0.532,0.532,0.160742188
111,1,0,0.444,0.536,0.428,0.536,0.536,0.152148438
112,1,0,0.444,0.54,0.428,0.54,0.54,0.151106771
113,1,0,0.444,0.544,0.428,0.544,0.544,0.157682292
114,1,0,0.444,0.548,0.424,0.548,0.548,0.162044271
115,0,0,0.444,0.552,0.412,0.552,0.552,0.165494792
116,0,0,0.444,0.548,0.412,0.548,0.548,0.167675781
117,0,0,0.44,0.544,0.416,0.544,0.544,0.18453776
118,0,0,0.432,0.54,0.384,0.54,0.54,0.210514323
119,0,0,0.428,0.536,0.424,0.536,0.536,0.209700521
120,0,0,0.424,0.532,0.424,0.532,0.532,0.216113281
121,0,0,0.42,0.532,0.424,0.532,0.532,0.233365885
122,0,0,0.42,0.528,0.416,0.528,0.528,0.260188802
123,0,0,0.42,0.524,0.416,0.524,0.524,0.289550781
124,0,0,0.416,0.52,0.404,0.52,0.52,0.31468099
125,0,0,0.42,0.512,0.388,0.512,0.512,0.332161458
126,0,0,0.424,0.508,0.428,0.508,0.508,0.331054688
127,0,0,0.424,0.504,0.416,0.504,0.504,0.337402344
128,0,0,0.416,0.5,0.42,0.5,0.5,0.346126302
129,0,0,0.412,0.496,0.408,0.496,0.496,0.353873698
130,1,0,0.416,0.496,0.42,0.496,0.496,0.35218099
131,1,0,0.416,0.496,0.424,0.496,0.496,0.349283854
132,1,0,0.42,0.5,0.416,0.5,0.5,0.359407552
133,1,0,0.424,0.504,0.42,0.504,0.504,0.373730469
134,1,0,0.424,0.508,0.42,0.508,0.508,0.38922526
135,1,0,0.428,0.516,0.42,0.516,0.516,0.404296875
136,1,0,0.432,0.52,0.42,0.52,0.52,0.417415365
137,1,0,0.432,0.524,0.42,0.524,0.524,0.430826823
138,1,0,0.436,0.532,0.42,0.532,0.532,0.444401042
139,1,0,0.436,0.536,0.42,0.536,0.536,0.457519531
140,1,0,0.44,0.54,0.416,0.54,0.54,0.452539063
141,1,0,0.44,0.548,0.416,0.548,0.548,0.452832031
142,1,0,0.444,0.552,0.42,0.552,0.552,0.462695313
